,Phenylalanine,Valine,Threonine,Tryptophan,Methionine,Leucine,Isoleucine,Lysine,Histidine,Alpha-linolenic acid,Linolenic acid,"Vitamin A, total","Vitamin C, total","Vitamin E, total",Vitamin D,"Vitamin K, phylloquinone (K1)",Vitamin B1 (as thiamin hydrochloride),Vitamin B2 (riboflavin),Vitamin B3,Vitamin B5,"Vitamin B6 (as pyridoxinehydrochloride), total",Vitamin B7,Vitamin B9,Vitamin B12 (as cyanocobalamin),Sodium (Na),Potassium (K),Calcium (Ca),Phosphorus (P),Magnesium (Mg),Iron (Fe),Zinc (Zn),Iodine (I),Manganese (Mn),Copper (Cu),Chromium (Cr),Selenium (Se),Cl,Mo,Co
"Halibut, greenland, smoked",550.0,790.0,600.0,100.0,450.0,1000.0,690.0,1200.0,260.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Game meat, bison, ground, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Cherries, sour, red, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.4,0.14300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Dogfish, piked, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00037999999999999997,0,0.0,0.65,0,0.0,0.052000000000000005,0.14,5.2,0.69,0.0,0.0,0.0032,0.0018,100.0,223.0,13.0,253.0,20.0,1.32,0.52,0.26,0.02,0.1,0.0005,0.0336,0,0,0
"Rosemary, fresh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Almond, raw",1200.0,1100.0,630.0,210.0,190.0,1500.0,950.0,670.0,550.0,0,0.0,0,0.8,24.0,0,0.0,0.275,0.8,4.0,0.47,0.06,0.4,0.096,0.0,2.0,725.0,256.0,491.0,265.0,4.5,3.3,0.0002,2.5,0.78,0.012,0.002,0,0,0
Cod liver oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0,0.0,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.15,0.0,0.08,0.07400000000000001,0.06,0.4,0.002,0.006999999999999999,0.0,5e-06,0,0,0
Vodka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.005,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.004,0.0,0.0,0.001,0.0,0.0,0,0,0
"Chard, swiss, raw",110.0,110.0,84.0,17.0,19.0,130.0,150.0,98.0,35.0,0,0.0,0,30.0,0.0,0,0.0,0.04,0.09,0.4,0.172,0.099,0.0,0.013999999999999999,0.0,213.0,379.0,51.0,46.0,81.0,1.8,0.36,0.0,0.366,0.179,0.0,0.0,0,0,0
"Mangosteen, canned, syrup pack",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.28600000000000003,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
