,0
0,Phenylalanine
1,Valine
2,Threonine
3,Tryptophan
4,Methionine
5,Leucine
6,Isoleucine
7,Lysine
8,Histidine
9,Alpha-linolenic acid
10,Linolenic acid
11,"Vitamin A, total"
12,"Vitamin C, total"
13,Vitamin D
14,"Vitamin E, total"
15,"Vitamin K, phylloquinone (K1)"
16,Vitamin B1 (as thiamin hydrochloride)
17,Vitamin B2 (riboflavin)
18,Vitamin B3
19,Vitamin B5
20,"Vitamin B6 (as pyridoxinehydrochloride), total"
21,Vitamin B7
22,Vitamin B9
23,Vitamin B12 (as cyanocobalamin)
24,Sodium (Na)
25,Potassium (K)
26,Calcium (Ca)
27,Phosphorus (P)
28,Magnesium (Mg)
29,Iron (Fe)
30,Zinc (Zn)
31,Iodine (I)
32,Manganese (Mn)
33,Copper (Cu)
34,Chromium (Cr)
35,Selenium (Se)
36,Cl
37,Mo
38,Co
